Số thứ tự (No.),Mã Epic (Epic ID),Tên Epic (Epic Name),Mã User Story (Story ID),Tên User Story (Story Title),User Story,Vai trò (Role),Giá trị nghiệp vụ (Business Value),Mô tả chi tiết (Description),Điều kiện bắt đầu (Precondition),Kết quả sau hoàn thành (Postcondition),Quy tắc liên quan (Business Rule),Độ ưu tiên (Priority),Story Point,Phụ thuộc vào (Dependency),Người phụ trách đề xuất (Assignee),Trạng thái (Status),Ghi chú (Notes)
1,NCL-01,Đăng nhập và phân quyền,NCL-01-CN-001,Đăng nhập hệ thống,"Là Lễ tân, tôi muốn đăng nhập bằng tài khoản được cấp, để truy cập đúng chức năng phục vụ khách.",Lễ tân,Bảo vệ dữ liệu và bắt đầu ca làm việc an toàn.,Người dùng nhập tài khoản và mật khẩu để vào hệ thống theo đúng vai trò của mình.,Người dùng đã được cấp tài khoản.,Người dùng vào được màn hình chính đúng với vai trò.,QTN-09,Bắt buộc,,,Thành viên bốn,Chưa thực hiện,
2,NCL-01,Đăng nhập và phân quyền,NCL-01-CN-002,Quản lý tài khoản người dùng,"Là Quản trị viên, tôi muốn tạo và khóa tài khoản cho nhân viên, để kiểm soát người truy cập hệ thống.",Quản trị viên,Kiểm soát danh sách người dùng theo thực tế nhân sự.,"Quản trị viên tạo mới, sửa và khóa tài khoản, gán vai trò cho từng người.",Quản trị viên đã đăng nhập.,Danh sách tài khoản phản ánh đúng nhân sự đang làm việc.,QTN-09,Bắt buộc,,NCL-01-CN-001,Thành viên bốn,Chưa thực hiện,
3,NCL-01,Đăng nhập và phân quyền,NCL-01-CN-003,Phân quyền theo vai trò,"Là Quản trị viên, tôi muốn gán quyền theo vai trò, để mỗi người chỉ thao tác đúng phần việc của mình.",Quản trị viên,Giảm rủi ro thao tác sai và rò rỉ dữ liệu.,"Quản trị viên cấu hình quyền xem, tạo, cập nhật và hủy cho từng vai trò trên từng chức năng.",Đã có danh sách vai trò và chức năng.,Mỗi vai trò truy cập đúng chức năng được phép.,QTN-09,Bắt buộc,,NCL-01-CN-002,Thành viên bốn,Chưa thực hiện,
4,NCL-01,Đăng nhập và phân quyền,NCL-01-CN-004,Đổi mật khẩu và đăng xuất,"Là Lễ tân, tôi muốn đổi mật khẩu và đăng xuất an toàn, để bảo vệ tài khoản của mình.",Lễ tân,Giữ an toàn tài khoản cá nhân.,Người dùng tự đổi mật khẩu và đăng xuất khỏi phiên làm việc.,Người dùng đã đăng nhập.,Mật khẩu được đổi và phiên làm việc kết thúc an toàn.,QTN-09,Quan trọng,,NCL-01-CN-001,Thành viên bốn,Chưa thực hiện,
5,NCL-02,Quản lý phòng loại phòng và giá,NCL-02-CN-001,Quản lý loại phòng,"Là Chủ cơ sở, tôi muốn khai báo các loại phòng, để làm cơ sở cho việc đặt phòng và tính giá.",Chủ cơ sở,Chuẩn hóa danh mục loại phòng của cơ sở.,Chủ cơ sở tạo và sửa loại phòng cùng sức chứa và mô tả tiện nghi.,Chủ cơ sở đã đăng nhập.,Danh mục loại phòng sẵn sàng để gán cho phòng.,QTN-03,Bắt buộc,,NCL-01-CN-001,Thành viên một,Chưa thực hiện,
6,NCL-02,Quản lý phòng loại phòng và giá,NCL-02-CN-002,Quản lý phòng,"Là Chủ cơ sở, tôi muốn khai báo từng phòng theo loại phòng, để đưa phòng vào lịch đặt phòng.",Chủ cơ sở,Có danh sách phòng thật để vận hành.,"Chủ cơ sở tạo phòng, gán loại phòng, đặt số phòng và trạng thái ban đầu.",Đã có loại phòng.,Danh sách phòng đầy đủ và gắn với loại phòng.,QTN-03,Bắt buộc,,NCL-02-CN-001,Thành viên một,Chưa thực hiện,
7,NCL-02,Quản lý phòng loại phòng và giá,NCL-02-CN-003,Cấu hình giá theo mùa,"Là Chủ cơ sở, tôi muốn đặt giá phòng theo mùa và theo loại phòng, để tối ưu doanh thu theo thời điểm.",Chủ cơ sở,Áp giá đúng theo mùa cao điểm và thấp điểm.,Chủ cơ sở khai báo bảng giá theo khoảng thời gian cho từng loại phòng.,Đã có loại phòng.,Hệ thống áp đúng giá theo mùa khi đặt phòng.,QTN-03,Bắt buộc,,NCL-02-CN-001,Thành viên một,Chưa thực hiện,
8,NCL-02,Quản lý phòng loại phòng và giá,NCL-02-CN-004,Quản lý danh mục dịch vụ phụ thu,"Là Chủ cơ sở, tôi muốn khai báo danh mục dịch vụ phụ thu, để lễ tân ghi nhận nhanh khi khách sử dụng.",Chủ cơ sở,Chuẩn hóa dịch vụ và giá phụ thu.,"Chủ cơ sở tạo danh mục dịch vụ như ăn sáng, đưa đón, giặt là kèm đơn giá.",Chủ cơ sở đã đăng nhập.,Danh mục dịch vụ phụ thu sẵn sàng để ghi nhận.,QTN-12,Quan trọng,,NCL-01-CN-001,Thành viên một,Chưa thực hiện,
9,NCL-03,Lịch phòng và đặt phòng chống trùng,NCL-03-CN-001,Xem lịch phòng trực quan,"Là Lễ tân, tôi muốn xem lịch phòng theo ngày, để biết phòng nào trống và phòng nào đã có khách.",Lễ tân,Nhìn nhanh tình trạng phòng để tư vấn khách.,"Lễ tân xem sơ đồ lịch phòng theo hàng phòng và cột ngày, mỗi đặt phòng hiển thị một dải thời gian.",Đã có phòng và đặt phòng.,Lễ tân thấy rõ tình trạng từng phòng theo thời gian.,QTN-01,Bắt buộc,,NCL-02-CN-002,Thành viên hai,Chưa thực hiện,
10,NCL-03,Lịch phòng và đặt phòng chống trùng,NCL-03-CN-002,Tạo đặt phòng,"Là Lễ tân, tôi muốn tạo đặt phòng cho khách, để giữ chỗ theo loại phòng và thời gian lưu trú.",Lễ tân,Ghi nhận nhu cầu lưu trú của khách.,"Lễ tân nhập thông tin khách, loại phòng, ngày nhận và ngày trả để tạo đặt phòng.",Đã có loại phòng và giá.,Đặt phòng được tạo với giá dự kiến và trạng thái mới tạo.,QTN-01,Bắt buộc,,"NCL-02-CN-002, NCL-02-CN-003",Thành viên một,Chưa thực hiện,
